NAME,B19013_001E,state,place
"Frazee city, Minnesota",49375,27,22472
"Inver Grove Heights city, Minnesota",78347,27,31076
"South Haven city, Minnesota",51875,27,61402
"Sherburn city, Minnesota",52857,27,59620
"Buffalo city, Minnesota",73955,27,08452
"Howard Lake city, Minnesota",52731,27,30284
"Aurora city, Minnesota",38536,27,02872
"Biwabik city, Minnesota",41719,27,06148
"Floodwood city, Minnesota",33424,27,21338
"Fifty Lakes city, Minnesota",48125,27,21032
"Nisswa city, Minnesota",67000,27,46348
"Minneota city, Minnesota",64500,27,43126
"Russell city, Minnesota",52292,27,56428
"Donnelly city, Minnesota",59375,27,16084
"Appleton city, Minnesota",34856,27,01864
"Danvers city, Minnesota",64750,27,14734
"De Graff city, Minnesota",50000,27,15418
"Grove City city, Minnesota",49375,27,26126
"Correll city, Minnesota",49375,27,13384
"Hitterdal city, Minnesota",59688,27,29402
"Sabin city, Minnesota",86583,27,56554
"Blaine city, Minnesota",84933,27,06382
"Centerville city, Minnesota",107794,27,10648
"Circle Pines city, Minnesota",83224,27,11494
"Coon Rapids city, Minnesota",71267,27,13114
"Sunfish Lake city, Minnesota",250001,27,63544
"West St. Paul city, Minnesota",56097,27,69700
"Silver Bay city, Minnesota",47639,27,60250
"Hatfield city, Minnesota",52500,27,27566
"Two Harbors city, Minnesota",55813,27,65956
"Gary city, Minnesota",63125,27,23246
"Halstad city, Minnesota",48056,27,26630
"Denham city, Minnesota",-666666666,27,15670
"Rutledge city, Minnesota",45417,27,56518
"Climax city, Minnesota",52143,27,11962
"Fertile city, Minnesota",51250,27,20978
"Fisher city, Minnesota",69250,27,21158
"Gully city, Minnesota",35500,27,26270
"McIntosh city, Minnesota",39444,27,39050
"Detroit Lakes city, Minnesota",49173,27,15832
"Columbia Heights city, Minnesota",57882,27,12700
"Ramsey city, Minnesota",95014,27,53026
"Ceylon city, Minnesota",42500,27,10792
"Granada city, Minnesota",46528,27,24884
"Gonvick city, Minnesota",33864,27,24344
"Miesville city, Minnesota",95625,27,42092
"New Trier city, Minnesota",83750,27,46024
"Randolph city, Minnesota",76042,27,53098
"East Lansing city, Michigan",39867,26,24120
"Muskegon city, Michigan",32433,26,56320
"Romulus city, Michigan",51504,26,69420
"Ludington city, Michigan",45302,26,49640
"Warren city, Michigan",49619,26,84000
"Algonac city, Michigan",53423,26,01180
"Zilwaukee city, Michigan",55625,26,89320
"Harper Woods city, Michigan",48418,26,36700
"Southfield city, Michigan",55705,26,74900
"Gladwin city, Michigan",38258,26,32320
"Belding city, Michigan",41812,26,06900
"Sandusky city, Michigan",39125,26,71540
"McBain city, Michigan",38491,26,49980
"Fremont city, Michigan",36949,26,30700
"Menominee city, Michigan",38784,26,53020
"Clare city, Michigan",42298,26,15920
"St. Johns city, Michigan",56307,26,70940
"Petoskey city, Michigan",45107,26,63820
"Benton Harbor city, Michigan",21916,26,07520
"Rockford city, Michigan",64920,26,69080
"Fraser city, Michigan",59089,26,30420
"Cadillac city, Michigan",36734,26,12320
"Caseville city, Michigan",36667,26,13760
"Ishpeming city, Michigan",46299,26,41220
"Beaver Bay city, Minnesota",67083,27,04456
"Ada city, Minnesota",53438,27,00172
"Perley city, Minnesota",56250,27,50506
"Hadley city, Minnesota",51250,27,26450
"Lake Wilson city, Minnesota",50000,27,35198
"Kenneth city, Minnesota",53571,27,32750
"Hazel Run city, Minnesota",42500,27,28016
"Elmore city, Minnesota",38125,27,18998
"Greenwald city, Minnesota",63125,27,25874
"Long Prairie city, Minnesota",41438,27,38060
"Albany city, Minnesota",62679,27,00622
"Eden Valley city, Minnesota",41534,27,18134
"New Munich city, Minnesota",49000,27,45772
"Waite Park city, Minnesota",41200,27,67612
"Calumet city, Minnesota",38281,27,09316
"Nashwauk city, Minnesota",56406,27,44980
"Nimrod city, Minnesota",31250,27,46294
"Bloomington city, Minnesota",75130,27,06616
"Vernon Center city, Minnesota",64375,27,66910
"Ghent city, Minnesota",60000,27,23660
"Taunton city, Minnesota",43750,27,64264
"Chokio city, Minnesota",50313,27,11440
"Marshall city, Minnesota",48958,27,40688
"Thief River Falls city, Minnesota",49790,27,64570
"Cromwell city, Minnesota",28646,27,13780
"Kettle River city, Minnesota",44688,27,32966
"Chaska city, Minnesota",85143,27,10972
"Brownsville city, Minnesota",63750,27,08218
"Wilder city, Minnesota",60781,27,70258
"Spicer city, Minnesota",57143,27,61690
"Waterville city, Minnesota",51736,27,68584
"Crosslake city, Minnesota",64821,27,13978
"Elkton city, Minnesota",60750,27,18728
"Gibbon city, Minnesota",47250,27,23678
"Green Isle city, Minnesota",65313,27,25658
"Winthrop city, Minnesota",55450,27,71122
"Brooks city, Minnesota",38750,27,08038
"Litchfield city, Minnesota",56941,27,37448
"St. Michael city, Minnesota",114015,27,57346
"Borup city, Minnesota",53750,27,07030
"Hill City city, Minnesota",37083,27,29096
"McGrath city, Minnesota",-666666666,27,38996
"Tamarack city, Minnesota",39375,27,64156
"Amboy city, Minnesota",50625,27,01324
"Eagle Lake city, Minnesota",74219,27,17378
"Kerkhoven city, Minnesota",45385,27,32876
"Comstock city, Minnesota",90417,27,12862
"Johnson city, Minnesota",-666666666,27,32012
"Felton city, Minnesota",57750,27,20834
"Glyndon city, Minnesota",66875,27,24182
"Hamburg city, Minnesota",75682,27,26666
"Mayer city, Minnesota",98405,27,41138
"Watertown city, Minnesota",83542,27,68548
"Georgetown city, Minnesota",68125,27,23498
"Moorhead city, Minnesota",60315,27,43864
"Foley city, Minnesota",59375,27,21536
"Clearbrook city, Minnesota",31875,27,11746
"Eagan city, Minnesota",90515,27,17288
"Callaway city, Minnesota",45625,27,09280
"Lakeville city, Minnesota",110212,27,35180
