RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,Date,RentIndex,Fecha_ES,Year,MedianIncome,RentIndexPct
3523,35,Baltimore,city,MD,MD,"Baltimore-Columbia-Towson, MD",Baltimore City,2015-01-31,1182.425514830126,Ene 2015,2015,3520.0833333333335,33.590838706378904
40152,36,Omaha,city,NE,NE,"Omaha-Council Bluffs, NE-IA",Douglas County,2015-01-31,832.2033794838635,Ene 2015,2015,4158.0,20.01451129109821
37211,37,Atlanta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,2015-01-31,1074.9662153568115,Ene 2015,2015,3960.5833333333335,27.14161336562741
5976,38,Milwaukee,city,WI,WI,"Milwaukee-Waukesha, WI",Milwaukee County,2015-01-31,892.6722498661567,Ene 2015,2015,2996.5,29.790497242321262
54047,40,Raleigh,city,NC,NC,"Raleigh-Cary, NC",Wake County,2015-01-31,991.5393818297896,Ene 2015,2015,4616.5,21.478162716988834
19331,41,Mesa,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2015-01-31,830.097309649636,Ene 2015,2015,4067.4166666666665,20.408465069547894
4172,42,Colorado Springs,city,CO,CO,"Colorado Springs, CO",El Paso County,2015-01-31,953.452952975074,Ene 2015,2015,4543.916666666667,20.98306423551798
17222,43,Buffalo,city,NY,NY,"Buffalo-Cheektowaga, NY",Erie County,2015-01-31,777.3509005817787,Ene 2015,2015,2659.8333333333335,29.225549241748677
832063,45,Rochester,city,NY,NY,"Rochester, NY",Monroe County,2015-01-31,811.3022428671569,Ene 2015,2015,2580.0,31.445823366944065
4099,46,Cincinnati,city,OH,OH,"Cincinnati, OH-KY-IN",Hamilton County,2015-01-31,780.6060957113066,Ene 2015,2015,2800.3333333333335,27.875470624139027
46298,47,Long Beach,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2015-01-31,1272.4846098538458,Ene 2015,2015,4398.583333333333,28.929419165727886
41515,48,Virginia Beach,city,VA,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,2015-01-31,1175.437218532327,Ene 2015,2015,5552.833333333333,21.168242372344338
3506,49,Bakersfield,city,CA,CA,"Bakersfield, CA",Kern County,2015-01-31,1083.89405785114,Ene 2015,2015,4757.916666666667,22.780854180249897
41176,50,Tampa,city,FL,FL,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,2015-01-31,1040.1515919461638,Ene 2015,2015,3682.0833333333335,28.24899649961291
13072,51,Oakland,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,2015-01-31,1751.997046029004,Ene 2015,2015,4551.5,38.49273966887848
