NAME,B19013_001E,state,place
"Abbeville city, Alabama",32778,01,00124
"Adamsville city, Alabama",60564,01,00460
"Alabaster city, Alabama",90163,01,00820
"Albertville city, Alabama",57103,01,00988
"Alexander City city, Alabama",42367,01,01132
"Aliceville city, Alabama",33125,01,01228
"Andalusia city, Alabama",47500,01,01708
"Anniston city, Alabama",44806,01,01852
"Arab city, Alabama",60985,01,02116
"Ashville city, Alabama",65169,01,02908
"Athens city, Alabama",65000,01,02956
"Atmore city, Alabama",33104,01,03004
"Attalla city, Alabama",55429,01,03028
"Auburn city, Alabama",56123,01,03076
"Bay Minette city, Alabama",39737,01,04660
"Bayou La Batre city, Alabama",40667,01,04684
"Bessemer city, Alabama",37844,01,05980
"Birmingham city, Alabama",44376,01,07000
"Boaz city, Alabama",49962,01,07912
"Brent city, Alabama",24041,01,09136
"Brewton city, Alabama",48766,01,09208
"Bridgeport city, Alabama",31723,01,09328
"Brighton city, Alabama",36219,01,09400
"Brundidge city, Alabama",37555,01,10240
"Calera city, Alabama",82441,01,11416
"Camden city, Alabama",38864,01,11512
"Carbon Hill city, Alabama",22283,01,12016
"Center Point city, Alabama",52401,01,13264
"Centre city, Alabama",43912,01,13648
"Centreville city, Alabama",41130,01,13672
"Chelsea city, Alabama",110056,01,14104
"Chickasaw city, Alabama",42854,01,14392
"Childersburg city, Alabama",49178,01,14464
"Citronelle city, Alabama",48926,01,15064
"Clanton city, Alabama",49952,01,15136
"Clay city, Alabama",86163,01,15256
"Clio city, Alabama",29781,01,15640
"Columbiana city, Alabama",68125,01,16768
"Cordova city, Alabama",38190,01,17368
"Creola city, Alabama",68594,01,18304
"Cullman city, Alabama",63704,01,18976
"Dadeville city, Alabama",57240,01,19336
"Daleville city, Alabama",45522,01,19360
"Daphne city, Alabama",86479,01,19648
"Decatur city, Alabama",59831,01,20104
"Demopolis city, Alabama",41457,01,20296
"Dora city, Alabama",61276,01,21136
"Dothan city, Alabama",55052,01,21184
"East Brewton city, Alabama",43070,01,22216
"Elba city, Alabama",41310,01,23296
"Enterprise city, Alabama",68306,01,24184
"Eufaula city, Alabama",45550,01,24568
"Evergreen city, Alabama",38098,01,24808
"Fairfield city, Alabama",48492,01,25120
"Fairhope city, Alabama",86509,01,25240
"Fayette city, Alabama",38009,01,25840
"Florence city, Alabama",50396,01,26896
"Foley city, Alabama",67346,01,26992
"Fort Payne city, Alabama",48623,01,27616
"Fultondale city, Alabama",69127,01,28552
"Gadsden city, Alabama",38699,01,28696
"Gardendale city, Alabama",81215,01,29056
"Geneva city, Alabama",48798,01,29464
"Glencoe city, Alabama",66050,01,29992
"Good Hope city, Alabama",88068,01,30496
"Graysville city, Alabama",61250,01,31384
"Greensboro city, Alabama",31207,01,31720
"Greenville city, Alabama",40744,01,31912
"Guin city, Alabama",47358,01,32224
"Gulf Shores city, Alabama",73873,01,32272
"Guntersville city, Alabama",67448,01,32416
"Haleyville city, Alabama",40538,01,32704
"Hamilton city, Alabama",53714,01,32848
"Hanceville city, Alabama",39894,01,32968
"Hartford city, Alabama",54286,01,33424
"Hartselle city, Alabama",67863,01,33448
"Headland city, Alabama",82736,01,33856
"Heflin city, Alabama",46569,01,33976
"Helena city, Alabama",109590,01,34024
"Henagar city, Alabama",44922,01,34096
"Hokes Bluff city, Alabama",81544,01,35392
"Homewood city, Alabama",108386,01,35800
"Hoover city, Alabama",107822,01,35896
"Hueytown city, Alabama",62362,01,36448
"Huntsville city, Alabama",70778,01,37000
"Indian Springs Village city, Alabama",138250,01,37465
"Irondale city, Alabama",71240,01,37864
"Jackson city, Alabama",46250,01,38152
"Jacksonville city, Alabama",47146,01,38272
"Jasper city, Alabama",66250,01,38416
"Jemison city, Alabama",54468,01,38608
"Kimberly city, Alabama",96190,01,39856
"La Fayette city, Alabama",32999,01,40672
"Lanett city, Alabama",42415,01,41296
"Leeds city, Alabama",71672,01,41968
"Lincoln city, Alabama",60793,01,43120
"Linden city, Alabama",30313,01,43240
"Lineville city, Alabama",37396,01,43264
"Lipscomb city, Alabama",45792,01,43336
"Livingston city, Alabama",24491,01,43720
"Luverne city, Alabama",51537,01,44728
"Madison city, Alabama",131436,01,45784
"Marion city, Alabama",38221,01,46768
"Midfield city, Alabama",51776,01,48376
"Millbrook city, Alabama",64522,01,48712
"Mobile city, Alabama",51090,01,50000
"Monroeville city, Alabama",31629,01,50192
"Montevallo city, Alabama",54665,01,50312
"Montgomery city, Alabama",55687,01,51000
"Moody city, Alabama",86389,01,51096
"Moulton city, Alabama",40792,01,51600
"Mountain Brook city, Alabama",191128,01,51696
"Muscle Shoals city, Alabama",70927,01,53016
"New Hope city, Alabama",80787,01,54168
"Northport city, Alabama",77781,01,55200
"Odenville city, Alabama",70815,01,56400
"Oneonta city, Alabama",47719,01,57000
"Opelika city, Alabama",58763,01,57048
"Opp city, Alabama",41346,01,57120
"Orange Beach city, Alabama",89034,01,57144
"Oxford city, Alabama",70065,01,57576
"Ozark city, Alabama",46951,01,57648
"Pelham city, Alabama",91904,01,58848
"Pell City city, Alabama",73043,01,58896
"Phenix City city, Alabama",49715,01,59472
"Piedmont city, Alabama",41964,01,59640
"Pinson city, Alabama",80349,01,60648
"Pleasant Grove city, Alabama",68344,01,61008
"Prattville city, Alabama",79396,01,62328
"Prichard city, Alabama",35331,01,62496
"Rainbow City city, Alabama",59659,01,63288
"Rainsville city, Alabama",64140,01,63336
"Red Bay city, Alabama",35587,01,63576
"Riverside city, Alabama",67750,01,64920
"Roanoke city, Alabama",48083,01,65040
"Robertsdale city, Alabama",55707,01,65208
"Russellville city, Alabama",52529,01,67056
"Samson city, Alabama",31964,01,67800
"Saraland city, Alabama",60577,01,68160
"Satsuma city, Alabama",97550,01,68352
"Scottsboro city, Alabama",52949,01,68736
"Selma city, Alabama",32184,01,69120
"Semmes city, Alabama",66458,01,69240
"Sheffield city, Alabama",42097,01,69648
"Slocomb city, Alabama",38988,01,71040
"Smiths Station city, Alabama",57410,01,71190
"Southside city, Alabama",73695,01,71832
"Spanish Fort city, Alabama",101574,01,71976
"Springville city, Alabama",76964,01,72600
"Stevenson city, Alabama",48214,01,73080
"Sulligent city, Alabama",30625,01,73728
"Sumiton city, Alabama",62226,01,73848
"Sylacauga city, Alabama",46384,01,74352
"Talladega city, Alabama",46820,01,74592
"Tallassee city, Alabama",63534,01,74688
"Tarrant city, Alabama",38861,01,74976
"Thomasville city, Alabama",43669,01,75960
"Troy city, Alabama",47595,01,76920
"Trussville city, Alabama",120794,01,76944
"Tuscaloosa city, Alabama",48536,01,77256
"Tuscumbia city, Alabama",47342,01,77280
"Tuskegee city, Alabama",38160,01,77304
"Union Springs city, Alabama",25828,01,77880
"Valley city, Alabama",55422,01,78204
"Valley Grande city, Alabama",61141,01,78232
"Vernon city, Alabama",27174,01,78480
"Vestavia Hills city, Alabama",129171,01,78552
"Warrior city, Alabama",56133,01,79944
"Weaver city, Alabama",74458,01,80352
"Wetumpka city, Alabama",54945,01,81720
"Winfield city, Alabama",71078,01,82992
"York city, Alabama",37009,01,84096
"Adak city, Alaska",50000,02,00065
"Akhiok city, Alaska",84135,02,00650
"Akiak city, Alaska",71667,02,00870
"Akutan city, Alaska",27500,02,01090
"Alakanuk city, Alaska",39667,02,01200
"Aleknagik city, Alaska",88750,02,01420
"Allakaket city, Alaska",24688,02,01860
"Ambler city, Alaska",41563,02,01970
"Anaktuvuk Pass city, Alaska",83250,02,02080
"Anderson city, Alaska",101250,02,03220
"Angoon city, Alaska",45938,02,03440
"Aniak city, Alaska",66875,02,03550
"Anvik city, Alaska",64028,02,03880
"Atka city, Alaska",-666666666,02,04210
"Atqasuk city, Alaska",89875,02,04500
"Bethel city, Alaska",109718,02,06520
"Bettles city, Alaska",-666666666,02,06630
"Brevig Mission city, Alaska",55000,02,08740
"Buckland city, Alaska",56136,02,09600
"Chefornak city, Alaska",46250,02,12680
"Chevak city, Alaska",-666666666,02,13230
"Chignik city, Alaska",94167,02,13550
"Chuathbaluk city, Alaska",30833,02,14330
"Clark's Point city, Alaska",-666666666,02,15430
"Coffman Cove city, Alaska",60417,02,16360
"Cold Bay city, Alaska",112273,02,16530
"Cordova city, Alaska",88538,02,17410
"Craig city, Alaska",67788,02,17740
"Deering city, Alaska",55625,02,18510
"Delta Junction city, Alaska",85694,02,18620
"Dillingham city, Alaska",99097,02,18950
"Diomede city, Alaska",-666666666,02,19060
"Eagle city, Alaska",48750,02,20380
"Edna Bay city, Alaska",-666666666,02,20970
"Eek city, Alaska",49375,02,21040
"Egegik city, Alaska",-666666666,02,21150
"Ekwok city, Alaska",50833,02,21810
"Elim city, Alaska",35000,02,22250
"Emmonak city, Alaska",55417,02,22910
"Fairbanks city, Alaska",72077,02,24230
"False Pass city, Alaska",64167,02,24660
"Fort Yukon city, Alaska",39934,02,26760
"Galena city, Alaska",86250,02,27530
"Gambell city, Alaska",48750,02,27640
"Golovin city, Alaska",63750,02,29180
"Goodnews Bay city, Alaska",29167,02,29290
"Grayling city, Alaska",52188,02,30060
"Gustavus city, Alaska",64167,02,30940
"Holy Cross city, Alaska",22917,02,33030
"Homer city, Alaska",73723,02,33140
"Hoonah city, Alaska",81406,02,33360
"Hooper Bay city, Alaska",47000,02,33470
"Houston city, Alaska",60865,02,33800
"Hughes city, Alaska",-666666666,02,33910
"Huslia city, Alaska",59167,02,34350
"Hydaburg city, Alaska",49375,02,34460
"Kachemak city, Alaska",71125,02,36540
"Kake city, Alaska",50833,02,36770
"Kaktovik city, Alaska",88750,02,36990
"Kaltag city, Alaska",41250,02,37430
"Kasaan city, Alaska",91667,02,37650
"Kenai city, Alaska",74907,02,38420
"Ketchikan city, Alaska",76835,02,38970
"Kiana city, Alaska",66719,02,39300
"King Cove city, Alaska",78125,02,39410
"Kivalina city, Alaska",70278,02,39960
"Klawock city, Alaska",49063,02,40400
"Kobuk city, Alaska",31429,02,40840
"Kodiak city, Alaska",71373,02,40950
"Kotlik city, Alaska",49844,02,41720
"Kotzebue city, Alaska",106328,02,41830
"Koyuk city, Alaska",34250,02,41940
"Koyukuk city, Alaska",28250,02,42050
"Kupreanof city, Alaska",-666666666,02,42160
"Kwethluk city, Alaska",48056,02,42380
"Larsen Bay city, Alaska",44375,02,43040
"Lower Kalskag city, Alaska",36250,02,45460
"McGrath city, Alaska",51250,02,46010
"Manokotak city, Alaska",58125,02,46890
"Marshall city, Alaska",53906,02,47000
"Mekoryuk city, Alaska",28750,02,47990
"Mountain Village city, Alaska",62188,02,51180
"Napakiak city, Alaska",26563,02,52390
"Napaskiak city, Alaska",42813,02,52720
"Nenana city, Alaska",51250,02,53050
"Newhalen city, Alaska",56250,02,53270
"New Stuyahok city, Alaska",54167,02,53710
"Nightmute city, Alaska",61071,02,53930
"Nikolai city, Alaska",36250,02,54150
"Nome city, Alaska",113561,02,54920
"Nondalton city, Alaska",39750,02,55030
"Noorvik city, Alaska",63125,02,55140
"North Pole city, Alaska",93355,02,55910
"Nuiqsut city, Alaska",62083,02,56320
"Nulato city, Alaska",52143,02,56350
"Nunam Iqua city, Alaska",-666666666,02,56600
"Nunapitchuk city, Alaska",43750,02,56680
"Old Harbor city, Alaska",31250,02,57340
"Ouzinkie city, Alaska",27813,02,58550
"Palmer city, Alaska",70550,02,58660
"Pelican city, Alaska",38750,02,59650
"Pilot Point city, Alaska",98125,02,60640
"Pilot Station city, Alaska",43125,02,60750
"Platinum city, Alaska",-666666666,02,61080
"Point Hope city, Alaska",81944,02,61630
"Port Alexander city, Alaska",37917,02,62510
"Port Heiden city, Alaska",67917,02,63390
"Port Lions city, Alaska",51111,02,63610
"Quinhagak city, Alaska",48594,02,64600
