NAME,B19013_001E,state,place
"Abbeville city, Alabama",31712,01,00124
"Adamsville city, Alabama",62500,01,00460
"Alabaster city, Alabama",91357,01,00820
"Albertville city, Alabama",56099,01,00988
"Alexander City city, Alabama",47022,01,01132
"Aliceville city, Alabama",39167,01,01228
"Andalusia city, Alabama",42611,01,01708
"Anniston city, Alabama",46668,01,01852
"Arab city, Alabama",64333,01,02116
"Argo city, Alabama",105128,01,02320
"Ashford city, Alabama",65341,01,02836
"Ashville city, Alabama",69362,01,02908
"Athens city, Alabama",69922,01,02956
"Atmore city, Alabama",38862,01,03004
"Attalla city, Alabama",59215,01,03028
"Auburn city, Alabama",63668,01,03076
"Bay Minette city, Alabama",44523,01,04660
"Bayou La Batre city, Alabama",37679,01,04684
"Bessemer city, Alabama",39613,01,05980
"Birmingham city, Alabama",46051,01,07000
"Boaz city, Alabama",49846,01,07912
"Brent city, Alabama",22660,01,09136
"Brewton city, Alabama",50721,01,09208
"Bridgeport city, Alabama",34481,01,09328
"Brighton city, Alabama",38221,01,09400
"Brundidge city, Alabama",38188,01,10240
"Calera city, Alabama",87194,01,11416
"Camden city, Alabama",36481,01,11512
"Carbon Hill city, Alabama",24605,01,12016
"Center Point city, Alabama",56417,01,13264
"Centre city, Alabama",44664,01,13648
"Centreville city, Alabama",39477,01,13672
"Chelsea city, Alabama",115337,01,14104
"Chickasaw city, Alabama",46559,01,14392
"Childersburg city, Alabama",52338,01,14464
"Citronelle city, Alabama",43870,01,15064
"Clanton city, Alabama",47520,01,15136
"Clay city, Alabama",81920,01,15256
"Clayton city, Alabama",21641,01,15376
"Clio city, Alabama",28750,01,15640
"Coaling city, Alabama",81370,01,16000
"Collinsville city, Alabama",31652,01,16600
"Columbiana city, Alabama",80546,01,16768
"Cullman city, Alabama",61224,01,18976
"Dadeville city, Alabama",67147,01,19336
"Daleville city, Alabama",45324,01,19360
"Daphne city, Alabama",87250,01,19648
"Decatur city, Alabama",61563,01,20104
"Demopolis city, Alabama",34802,01,20296
"Dora city, Alabama",61892,01,21136
"Dothan city, Alabama",55792,01,21184
"East Brewton city, Alabama",35571,01,22216
"Elba city, Alabama",44792,01,23296
"Enterprise city, Alabama",73125,01,24184
"Eufaula city, Alabama",47392,01,24568
"Eutaw city, Alabama",27422,01,24664
"Evergreen city, Alabama",40700,01,24808
"Fairfield city, Alabama",48456,01,25120
"Fairhope city, Alabama",94274,01,25240
"Fayette city, Alabama",36473,01,25840
"Florence city, Alabama",52174,01,26896
"Foley city, Alabama",66336,01,26992
"Fort Payne city, Alabama",47479,01,27616
"Fultondale city, Alabama",73575,01,28552
"Gadsden city, Alabama",40345,01,28696
"Gardendale city, Alabama",82192,01,29056
"Geneva city, Alabama",47102,01,29464
"Glencoe city, Alabama",68517,01,29992
"Good Hope city, Alabama",93661,01,30496
"Graysville city, Alabama",70208,01,31384
"Greensboro city, Alabama",27000,01,31720
"Greenville city, Alabama",40822,01,31912
"Guin city, Alabama",51117,01,32224
"Gulf Shores city, Alabama",78188,01,32272
"Guntersville city, Alabama",67929,01,32416
"Haleyville city, Alabama",42058,01,32704
"Hamilton city, Alabama",54871,01,32848
"Hanceville city, Alabama",41791,01,32968
"Hartford city, Alabama",56250,01,33424
"Hartselle city, Alabama",76290,01,33448
"Headland city, Alabama",79063,01,33856
"Heflin city, Alabama",46711,01,33976
"Helena city, Alabama",115139,01,34024
"Henagar city, Alabama",49315,01,34096
"Hokes Bluff city, Alabama",74968,01,35392
"Homewood city, Alabama",94485,01,35800
"Hoover city, Alabama",109253,01,35896
"Hueytown city, Alabama",62784,01,36448
"Huntsville city, Alabama",74714,01,37000
"Indian Springs Village city, Alabama",136836,01,37465
"Irondale city, Alabama",72343,01,37864
"Jackson city, Alabama",37948,01,38152
"Jacksonville city, Alabama",51814,01,38272
"Jasper city, Alabama",66238,01,38416
"Jemison city, Alabama",65800,01,38608
"Kimberly city, Alabama",97429,01,39856
"Kinsey city, Alabama",55500,01,40072
"La Fayette city, Alabama",32601,01,40672
"Lake View city, Alabama",101487,01,40928
"Lanett city, Alabama",42357,01,41296
"Leeds city, Alabama",69737,01,41968
"Lincoln city, Alabama",57145,01,43120
"Lineville city, Alabama",38302,01,43264
"Lipscomb city, Alabama",41875,01,43336
"Livingston city, Alabama",24236,01,43720
"Loxley city, Alabama",108488,01,44608
"Luverne city, Alabama",43269,01,44728
"Madison city, Alabama",134655,01,45784
"Margaret city, Alabama",101802,01,46696
"Marion city, Alabama",35842,01,46768
"Midfield city, Alabama",52755,01,48376
"Midland City city, Alabama",28438,01,48400
"Millbrook city, Alabama",70313,01,48712
"Mobile city, Alabama",53558,01,50000
"Monroeville city, Alabama",32513,01,50192
"Montevallo city, Alabama",56626,01,50312
"Montgomery city, Alabama",56811,01,51000
"Moody city, Alabama",86627,01,51096
"Morris city, Alabama",101563,01,51456
"Moulton city, Alabama",57813,01,51600
"Mountain Brook city, Alabama",201479,01,51696
"Muscle Shoals city, Alabama",75894,01,53016
"New Hope city, Alabama",83816,01,54168
"Northport city, Alabama",80913,01,55200
"Odenville city, Alabama",70296,01,56400
"Oneonta city, Alabama",53980,01,57000
"Opelika city, Alabama",65004,01,57048
"Opp city, Alabama",41347,01,57120
"Orange Beach city, Alabama",97736,01,57144
"Owens Cross Roads city, Alabama",86188,01,57504
"Oxford city, Alabama",74268,01,57576
"Ozark city, Alabama",48944,01,57648
"Pelham city, Alabama",101094,01,58848
"Pell City city, Alabama",68638,01,58896
"Phenix City city, Alabama",50053,01,59472
"Piedmont city, Alabama",40506,01,59640
"Pike Road city, Alabama",117091,01,59760
"Pinson city, Alabama",76410,01,60648
"Pleasant Grove city, Alabama",70317,01,61008
"Prattville city, Alabama",81337,01,62328
"Priceville city, Alabama",117127,01,62472
"Prichard city, Alabama",36588,01,62496
"Rainbow City city, Alabama",56398,01,63288
"Rainsville city, Alabama",74046,01,63336
"Red Bay city, Alabama",37473,01,63576
"Riverside city, Alabama",83664,01,64920
"Roanoke city, Alabama",47105,01,65040
"Robertsdale city, Alabama",59152,01,65208
"Russellville city, Alabama",58231,01,67056
"Saraland city, Alabama",61509,01,68160
"Satsuma city, Alabama",101042,01,68352
"Scottsboro city, Alabama",53929,01,68736
"Selma city, Alabama",33197,01,69120
"Semmes city, Alabama",66417,01,69240
"Sheffield city, Alabama",39733,01,69648
"Slocomb city, Alabama",38056,01,71040
"Smiths Station city, Alabama",64669,01,71190
"Southside city, Alabama",76487,01,71832
"Spanish Fort city, Alabama",99346,01,71976
"Springville city, Alabama",84231,01,72600
"Sumiton city, Alabama",65568,01,73848
"Sylacauga city, Alabama",50017,01,74352
"Talladega city, Alabama",44198,01,74592
"Tallassee city, Alabama",66752,01,74688
"Tarrant city, Alabama",42070,01,74976
"Taylor city, Alabama",67464,01,75096
"Thomasville city, Alabama",42671,01,75960
"Thorsby city, Alabama",76389,01,76080
"Triana city, Alabama",110100,01,76824
"Trinity city, Alabama",100929,01,76872
"Troy city, Alabama",50717,01,76920
"Trussville city, Alabama",123275,01,76944
"Tuscaloosa city, Alabama",51464,01,77256
"Tuscumbia city, Alabama",59143,01,77280
"Tuskegee city, Alabama",38000,01,77304
"Union Springs city, Alabama",26250,01,77880
"Uniontown city, Alabama",33750,01,77904
"Valley city, Alabama",51661,01,78204
"Valley Grande city, Alabama",58929,01,78232
"Vance city, Alabama",94545,01,78264
"Vestavia Hills city, Alabama",134369,01,78552
"Warrior city, Alabama",57557,01,79944
"Weaver city, Alabama",49435,01,80352
"Wetumpka city, Alabama",57763,01,81720
"Winfield city, Alabama",49688,01,82992
"York city, Alabama",30489,01,84096
"Adak city, Alaska",250001,02,00065
"Akhiok city, Alaska",85139,02,00650
"Akiak city, Alaska",78929,02,00870
"Akutan city, Alaska",35833,02,01090
"Alakanuk city, Alaska",41607,02,01200
"Aleknagik city, Alaska",75417,02,01420
"Allakaket city, Alaska",-666666666,02,01860
"Ambler city, Alaska",40556,02,01970
"Anaktuvuk Pass city, Alaska",95500,02,02080
"Anderson city, Alaska",101875,02,03220
"Angoon city, Alaska",45288,02,03440
"Aniak city, Alaska",93542,02,03550
"Anvik city, Alaska",80000,02,03880
"Atka city, Alaska",-666666666,02,04210
"Atqasuk city, Alaska",90625,02,04500
"Bethel city, Alaska",117255,02,06520
"Bettles city, Alaska",-666666666,02,06630
"Brevig Mission city, Alaska",63088,02,08740
"Buckland city, Alaska",58990,02,09600
"Chefornak city, Alaska",51818,02,12680
"Chevak city, Alaska",35875,02,13230
"Chignik city, Alaska",-666666666,02,13550
"Chuathbaluk city, Alaska",33214,02,14330
"Clark's Point city, Alaska",-666666666,02,15430
"Coffman Cove city, Alaska",62917,02,16360
"Cold Bay city, Alaska",-666666666,02,16530
"Cordova city, Alaska",85132,02,17410
"Craig city, Alaska",67778,02,17740
"Deering city, Alaska",58333,02,18510
"Delta Junction city, Alaska",84271,02,18620
"Dillingham city, Alaska",101200,02,18950
"Diomede city, Alaska",-666666666,02,19060
"Eagle city, Alaska",41750,02,20380
"Edna Bay city, Alaska",46250,02,20970
"Eek city, Alaska",45417,02,21040
"Egegik city, Alaska",24250,02,21150
"Ekwok city, Alaska",-666666666,02,21810
"Elim city, Alaska",37031,02,22250
"Emmonak city, Alaska",57764,02,22910
"Fairbanks city, Alaska",73534,02,24230
"False Pass city, Alaska",-666666666,02,24660
"Fort Yukon city, Alaska",42022,02,26760
"Galena city, Alaska",87875,02,27530
"Gambell city, Alaska",52500,02,27640
"Golovin city, Alaska",66667,02,29180
"Goodnews Bay city, Alaska",26875,02,29290
"Grayling city, Alaska",46250,02,30060
"Gustavus city, Alaska",63558,02,30940
"Holy Cross city, Alaska",-666666666,02,33030
"Homer city, Alaska",74449,02,33140
"Hoonah city, Alaska",80500,02,33360
"Hooper Bay city, Alaska",49688,02,33470
"Houston city, Alaska",73015,02,33800
"Hughes city, Alaska",-666666666,02,33910
"Huslia city, Alaska",30417,02,34350
"Hydaburg city, Alaska",46875,02,34460
"Kachemak city, Alaska",76750,02,36540
"Kake city, Alaska",52159,02,36770
"Kaktovik city, Alaska",93750,02,36990
