NAME,B19013_001E,state,place
"Laramie city, Wyoming",39371.0,56,45050
"Casper city, Wyoming",57790.0,56,13150
"Cheyenne city, Wyoming",58219.0,56,13900
"Middleton city, Wisconsin",65283.0,55,51575
"Verona city, Wisconsin",87286.0,55,82600
"Waterloo city, Wisconsin",69779.0,55,83925
"La Crosse city, Wisconsin",40725.0,55,40775
"Eagle River city, Wisconsin",29103.0,55,21625
"Pittsville city, Wisconsin",41691.0,55,63100
"Franklin city, Wisconsin",73148.0,55,27300
"Marshfield city, Wisconsin",43639.0,55,49675
"Loyal city, Wisconsin",34948.0,55,46075
"Phillips city, Wisconsin",37417.0,55,62450
"St. Francis city, Wisconsin",42808.0,55,70650
"Lodi city, Wisconsin",60938.0,55,45350
"Baraboo city, Wisconsin",38793.0,55,04625
"Niagara city, Wisconsin",36855.0,55,57325
"Merrill city, Wisconsin",41130.0,55,51250
"St. Croix Falls city, Wisconsin",40511.0,55,70550
"Boscobel city, Wisconsin",43185.0,55,08850
"Beaver Dam city, Wisconsin",46728.0,55,05900
"Lander city, Wyoming",51167.0,56,44760
"Gillette city, Wyoming",74165.0,56,31855
"Kiel city, Wisconsin",52439.0,55,39525
"Green Bay city, Wisconsin",42826.0,55,31000
"Kenosha city, Wisconsin",49160.0,55,39225
"Lancaster city, Wisconsin",44118.0,55,42250
"Nekoosa city, Wisconsin",41855.0,55,55875
"Menasha city, Wisconsin",46540.0,55,50825
"Hartford city, Wisconsin",57253.0,55,33000
"Viroqua city, Wisconsin",37477.0,55,82925
"West Bend city, Wisconsin",57060.0,55,85350
"Augusta city, Wisconsin",38631.0,55,03825
"Durand city, Wisconsin",40689.0,55,21225
"Delavan city, Wisconsin",43527.0,55,19450
"Princeton city, Wisconsin",41875.0,55,65600
"Colby city, Wisconsin",37685.0,55,16150
"Prairie du Chien city, Wisconsin",37887.0,55,65050
"Medford city, Wisconsin",33112.0,55,50425
"Fox Lake city, Wisconsin",50259.0,55,27000
"Horicon city, Wisconsin",60265.0,55,35750
"Beloit city, Wisconsin",37500.0,55,06500
"Weyauwega city, Wisconsin",38409.0,55,86400
"Bayfield city, Wisconsin",41094.0,55,05350
"Hillsboro city, Wisconsin",42946.0,55,34825
"Janesville city, Wisconsin",49001.0,55,37825
"Powell city, Wyoming",46862.0,56,62450
"Newcastle city, Wyoming",44306.0,56,56215
"Prescott city, Wisconsin",67159.0,55,65375
"Lake Mills city, Wisconsin",65162.0,55,41675
"Omro city, Wisconsin",44375.0,55,59875
"Dodgeville city, Wisconsin",47031.0,55,20350
"Sheboygan city, Wisconsin",43381.0,55,72975
"Osseo city, Wisconsin",43043.0,55,60575
"Port Washington city, Wisconsin",62839.0,55,64450
"Richland Center city, Wisconsin",37591.0,55,67625
"Markesan city, Wisconsin",37772.0,55,49450
"Abbotsford city, Wisconsin",38611.0,55,00100
"Wisconsin Dells city, Wisconsin",44688.0,55,88150
"Delafield city, Wisconsin",77679.0,55,19400
"De Pere city, Wisconsin",60924.0,55,19775
"Cedarburg city, Wisconsin",72098.0,55,13375
"West Allis city, Wisconsin",45221.0,55,85300
"Sturgeon Bay city, Wisconsin",46906.0,55,77875
"Shell Lake city, Wisconsin",40169.0,55,73200
"Sun Prairie city, Wisconsin",66177.0,55,78600
"Fitchburg city, Wisconsin",61346.0,55,25950
