NAME,B19013_001E,state,place
"Grafton city, West Virginia",33012.0,54,32716
"Poteet city, Texas",35694.0,48,59084
"San Marcos city, Texas",37593.0,48,65600
"Zillah city, Washington",64037.0,53,80500
"Fair Oaks Ranch city, Texas",125806.0,48,25168
"Orting city, Washington",80497.0,53,52005
"Poulsbo city, Washington",67813.0,53,55995
"Mabton city, Washington",40458.0,53,40980
"Vernon city, Texas",45515.0,48,75308
"Lucas city, Texas",173750.0,48,45012
"Channing city, Texas",46691.0,48,14260
"Fayetteville city, Texas",40179.0,48,25644
"Tye city, Texas",41641.0,48,74132
"Bellevue city, Texas",47500.0,48,07396
"Goodrich city, Texas",45893.0,48,30224
"Dumas city, Texas",52495.0,48,21556
"Cove city, Texas",85625.0,48,17336
"Williamson city, West Virginia",24077.0,54,87508
"Ropesville city, Texas",52917.0,48,63140
"Archer City city, Texas",36296.0,48,03696
"Talco city, Texas",29375.0,48,71732
"Friendswood city, Texas",104097.0,48,27648
"Pecan Hill city, Texas",75000.0,48,56485
"Mesquite city, Texas",56074.0,48,47892
"Lewisville city, Texas",63056.0,48,42508
"Grapeland city, Texas",27891.0,48,30632
"Coyote Flats city, Texas",51250.0,48,17429
"Childress city, Texas",39257.0,48,14668
"Van city, Texas",52917.0,48,74912
"Lovelady city, Texas",-666666666.0,48,44260
"Winfield city, Texas",45938.0,48,79720
"Blossom city, Texas",44398.0,48,08812
"Paris city, Texas",33824.0,48,55080
"Amarillo city, Texas",52543.0,48,03000
"Falls City city, Texas",80950.0,48,25392
"Grand Prairie city, Texas",65249.0,48,30464
"Kirbyville city, Texas",23977.0,48,39460
"Manor city, Texas",63568.0,48,46440
"Anson city, Texas",43397.0,48,03372
"Round Rock city, Texas",80637.0,48,63500
"Stamford city, Texas",34924.0,48,69980
"Bayou Vista city, Texas",97500.0,48,06060
"Dalhart city, Texas",55657.0,48,18524
"Robstown city, Texas",29218.0,48,62600
"Spofford city, Texas",31823.0,48,69560
"Jasper city, Texas",36703.0,48,37420
"Jonestown city, Texas",75766.0,48,38020
"Huntsville city, Texas",32137.0,48,35528
"Hurst city, Texas",61509.0,48,35576
"Port Neches city, Texas",65625.0,48,58940
"Hudson Oaks city, Texas",111750.0,48,35254
"Onalaska city, Texas",34333.0,48,54048
"Big Wells city, Texas",24653.0,48,08260
"Sanger city, Texas",62606.0,48,65408
"Forest Hill city, Texas",45114.0,48,26544
"Dayton city, Texas",50141.0,48,19432
"Hurricane city, West Virginia",55266.0,54,39532
"Williamstown city, West Virginia",59116.0,54,87556
"Abbott city, Texas",73750.0,48,00100
"Socorro city, Texas",34339.0,48,68636
"Sugar Land city, Texas",122233.0,48,70808
"Arcola city, Texas",44570.0,48,03708
"Greenville city, Texas",40950.0,48,30920
"Marion city, Texas",41250.0,48,46692
"Anahuac city, Texas",42891.0,48,03144
"Santa Clara city, Texas",72083.0,48,65690
"Quinlan city, Texas",36875.0,48,60140
"Mineola city, Texas",40018.0,48,48648
"Rose Hill Acres city, Texas",81042.0,48,63272
"Campbell city, Texas",38750.0,48,12112
"Wolfe City city, Texas",41964.0,48,79948
"Lometa city, Texas",30000.0,48,43516
"Mullens city, West Virginia",47019.0,54,57148
"Edcouch city, Texas",32000.0,48,22528
"Cottonwood Shores city, Texas",54722.0,48,17208
"Dunbar city, West Virginia",42411.0,54,22564
"Wellman city, Texas",60417.0,48,77164
"Meadowlakes city, Texas",87321.0,48,47330
"Brownsboro city, Texas",53162.0,48,10756
"Smithers city, West Virginia",36797.0,54,74740
