NAME,B19013_001E,state,place
"Abbeville city, Alabama",36944,01,00124
"Adamsville city, Alabama",46150,01,00460
"Alabaster city, Alabama",83181,01,00820
"Albertville city, Alabama",51718,01,00988
"Alexander City city, Alabama",41778,01,01132
"Aliceville city, Alabama",30411,01,01228
"Andalusia city, Alabama",40516,01,01708
"Anniston city, Alabama",39928,01,01852
"Arab city, Alabama",50321,01,02116
"Ashville city, Alabama",42875,01,02908
"Athens city, Alabama",52211,01,02956
"Atmore city, Alabama",29104,01,03004
"Attalla city, Alabama",46278,01,03028
"Auburn city, Alabama",54700,01,03076
"Bay Minette city, Alabama",35851,01,04660
"Bayou La Batre city, Alabama",29099,01,04684
"Bessemer city, Alabama",32416,01,05980
"Birmingham city, Alabama",39403,01,07000
"Boaz city, Alabama",40732,01,07912
"Brent city, Alabama",22304,01,09136
"Brewton city, Alabama",44528,01,09208
"Bridgeport city, Alabama",35551,01,09328
"Brighton city, Alabama",28125,01,09400
"Brundidge city, Alabama",35440,01,10240
"Calera city, Alabama",70504,01,11416
"Camden city, Alabama",40670,01,11512
"Carbon Hill city, Alabama",26481,01,12016
"Center Point city, Alabama",44676,01,13264
"Centre city, Alabama",38778,01,13648
"Centreville city, Alabama",35074,01,13672
"Chelsea city, Alabama",93658,01,14104
"Chickasaw city, Alabama",36196,01,14392
"Childersburg city, Alabama",37043,01,14464
"Citronelle city, Alabama",50956,01,15064
"Clanton city, Alabama",48051,01,15136
"Clay city, Alabama",74265,01,15256
"Clio city, Alabama",24735,01,15640
"Columbiana city, Alabama",50357,01,16768
"Cordova city, Alabama",35764,01,17368
"Creola city, Alabama",56382,01,18304
"Cullman city, Alabama",54669,01,18976
"Dadeville city, Alabama",24722,01,19336
"Daleville city, Alabama",43459,01,19360
"Daphne city, Alabama",74701,01,19648
"Decatur city, Alabama",52539,01,20104
"Demopolis city, Alabama",40968,01,20296
"Dora city, Alabama",52592,01,21136
"Dothan city, Alabama",49203,01,21184
"East Brewton city, Alabama",38587,01,22216
"Elba city, Alabama",39913,01,23296
"Enterprise city, Alabama",63859,01,24184
"Eufaula city, Alabama",35127,01,24568
"Evergreen city, Alabama",36021,01,24808
"Fairfield city, Alabama",43914,01,25120
"Fairhope city, Alabama",83258,01,25240
"Fayette city, Alabama",34133,01,25840
"Florence city, Alabama",40944,01,26896
"Foley city, Alabama",53817,01,26992
"Fort Payne city, Alabama",44330,01,27616
"Fultondale city, Alabama",72766,01,28552
"Gadsden city, Alabama",35776,01,28696
"Gardendale city, Alabama",74608,01,29056
"Geneva city, Alabama",38125,01,29464
"Glencoe city, Alabama",63060,01,29992
"Good Hope city, Alabama",58036,01,30496
"Graysville city, Alabama",50216,01,31384
"Greensboro city, Alabama",25465,01,31720
"Greenville city, Alabama",39959,01,31912
"Guin city, Alabama",44634,01,32224
"Gulf Shores city, Alabama",53048,01,32272
"Guntersville city, Alabama",53750,01,32416
"Haleyville city, Alabama",47701,01,32704
"Hamilton city, Alabama",42722,01,32848
"Hanceville city, Alabama",34111,01,32968
"Hartford city, Alabama",42043,01,33424
"Hartselle city, Alabama",61557,01,33448
"Headland city, Alabama",72391,01,33856
"Heflin city, Alabama",40368,01,33976
"Helena city, Alabama",96173,01,34024
"Henagar city, Alabama",49688,01,34096
"Hokes Bluff city, Alabama",56681,01,35392
"Homewood city, Alabama",89433,01,35800
"Hoover city, Alabama",95970,01,35896
"Hueytown city, Alabama",58151,01,36448
"Huntsville city, Alabama",60959,01,37000
"Indian Springs Village city, Alabama",124659,01,37465
"Irondale city, Alabama",63010,01,37864
"Jackson city, Alabama",49460,01,38152
"Jacksonville city, Alabama",41920,01,38272
"Jasper city, Alabama",55721,01,38416
"Jemison city, Alabama",55333,01,38608
"Kimberly city, Alabama",98882,01,39856
"La Fayette city, Alabama",30230,01,40672
"Lanett city, Alabama",46404,01,41296
"Leeds city, Alabama",62432,01,41968
"Lincoln city, Alabama",63464,01,43120
"Linden city, Alabama",40427,01,43240
"Lineville city, Alabama",36522,01,43264
"Lipscomb city, Alabama",41161,01,43336
"Livingston city, Alabama",16321,01,43720
"Luverne city, Alabama",49148,01,44728
"Madison city, Alabama",105335,01,45784
"Marion city, Alabama",28915,01,46768
"Midfield city, Alabama",46929,01,48376
"Millbrook city, Alabama",59084,01,48712
"Mobile city, Alabama",44780,01,50000
"Monroeville city, Alabama",28718,01,50192
"Montevallo city, Alabama",43504,01,50312
"Montgomery city, Alabama",49989,01,51000
"Moody city, Alabama",69846,01,51096
"Moulton city, Alabama",36992,01,51600
"Mountain Brook city, Alabama",150268,01,51696
"Muscle Shoals city, Alabama",61772,01,53016
"New Hope city, Alabama",71917,01,54168
"Northport city, Alabama",69921,01,55200
"Odenville city, Alabama",69479,01,56400
"Oneonta city, Alabama",40391,01,57000
"Opelika city, Alabama",51074,01,57048
"Opp city, Alabama",40372,01,57120
"Orange Beach city, Alabama",84838,01,57144
"Oxford city, Alabama",62226,01,57576
"Ozark city, Alabama",44014,01,57648
"Pelham city, Alabama",81606,01,58848
"Pell City city, Alabama",58036,01,58896
"Phenix City city, Alabama",43296,01,59472
"Piedmont city, Alabama",45463,01,59640
"Pinson city, Alabama",70393,01,60648
"Pleasant Grove city, Alabama",67000,01,61008
"Prattville city, Alabama",65932,01,62328
"Prichard city, Alabama",32900,01,62496
"Rainbow City city, Alabama",51765,01,63288
"Rainsville city, Alabama",49375,01,63336
"Red Bay city, Alabama",30000,01,63576
"Riverside city, Alabama",55417,01,64920
"Roanoke city, Alabama",38731,01,65040
"Robertsdale city, Alabama",55707,01,65208
"Russellville city, Alabama",43829,01,67056
"Samson city, Alabama",28884,01,67800
"Saraland city, Alabama",61216,01,68160
"Satsuma city, Alabama",88312,01,68352
"Scottsboro city, Alabama",43672,01,68736
"Selma city, Alabama",29656,01,69120
"Semmes city, Alabama",55409,01,69240
"Sheffield city, Alabama",36642,01,69648
"Slocomb city, Alabama",37596,01,71040
"Smiths Station city, Alabama",53096,01,71190
"Southside city, Alabama",66692,01,71832
"Spanish Fort city, Alabama",89504,01,71976
"Springville city, Alabama",56106,01,72600
"Stevenson city, Alabama",41348,01,73080
"Sulligent city, Alabama",22837,01,73728
"Sumiton city, Alabama",58578,01,73848
"Sylacauga city, Alabama",41864,01,74352
"Talladega city, Alabama",31795,01,74592
"Tallassee city, Alabama",47405,01,74688
"Tarrant city, Alabama",36927,01,74976
"Thomasville city, Alabama",41417,01,75960
"Troy city, Alabama",36409,01,76920
"Trussville city, Alabama",108070,01,76944
"Tuscaloosa city, Alabama",44880,01,77256
"Tuscumbia city, Alabama",42692,01,77280
"Tuskegee city, Alabama",32024,01,77304
"Union Springs city, Alabama",20476,01,77880
"Valley city, Alabama",51476,01,78204
"Valley Grande city, Alabama",64721,01,78232
"Vernon city, Alabama",34181,01,78480
"Vestavia Hills city, Alabama",118539,01,78552
"Warrior city, Alabama",44075,01,79944
"Weaver city, Alabama",66990,01,80352
"Wetumpka city, Alabama",49146,01,81720
"Winfield city, Alabama",68109,01,82992
"York city, Alabama",30307,01,84096
"Adak city, Alaska",57500,02,00065
"Akhiok city, Alaska",65417,02,00650
"Akiak city, Alaska",56875,02,00870
"Akutan city, Alaska",32750,02,01090
"Alakanuk city, Alaska",36429,02,01200
"Aleknagik city, Alaska",46875,02,01420
"Allakaket city, Alaska",22000,02,01860
"Ambler city, Alaska",35750,02,01970
"Anaktuvuk Pass city, Alaska",62788,02,02080
"Anderson city, Alaska",90000,02,03220
"Angoon city, Alaska",44167,02,03440
"Aniak city, Alaska",63750,02,03550
"Anvik city, Alaska",51250,02,03880
"Atka city, Alaska",52500,02,04210
"Atqasuk city, Alaska",91875,02,04500
"Bethel city, Alaska",100168,02,06520
