NAME,B19013_001E,state,place
"Abbeville city, Alabama",35147,01,00124
"Adamsville city, Alabama",58631,01,00460
"Alabaster city, Alabama",89423,01,00820
"Albertville city, Alabama",55933,01,00988
"Alexander City city, Alabama",42141,01,01132
"Aliceville city, Alabama",30152,01,01228
"Andalusia city, Alabama",44196,01,01708
"Anniston city, Alabama",45642,01,01852
"Arab city, Alabama",56471,01,02116
"Ashville city, Alabama",54785,01,02908
"Athens city, Alabama",57444,01,02956
"Atmore city, Alabama",30472,01,03004
"Attalla city, Alabama",51875,01,03028
"Auburn city, Alabama",55509,01,03076
"Bay Minette city, Alabama",36899,01,04660
"Bayou La Batre city, Alabama",40000,01,04684
"Bessemer city, Alabama",34953,01,05980
"Birmingham city, Alabama",42464,01,07000
"Boaz city, Alabama",43276,01,07912
"Brent city, Alabama",26250,01,09136
"Brewton city, Alabama",45881,01,09208
"Bridgeport city, Alabama",34000,01,09328
"Brighton city, Alabama",34471,01,09400
"Brundidge city, Alabama",37627,01,10240
"Calera city, Alabama",73775,01,11416
"Camden city, Alabama",35583,01,11512
"Carbon Hill city, Alabama",27581,01,12016
"Center Point city, Alabama",49886,01,13264
"Centre city, Alabama",41924,01,13648
"Centreville city, Alabama",36777,01,13672
"Chelsea city, Alabama",102344,01,14104
"Chickasaw city, Alabama",38985,01,14392
"Childersburg city, Alabama",45483,01,14464
"Citronelle city, Alabama",54892,01,15064
"Clanton city, Alabama",48566,01,15136
"Clay city, Alabama",74198,01,15256
"Clio city, Alabama",25290,01,15640
"Columbiana city, Alabama",58214,01,16768
"Cordova city, Alabama",36339,01,17368
"Creola city, Alabama",63125,01,18304
"Cullman city, Alabama",59982,01,18976
"Dadeville city, Alabama",46477,01,19336
"Daleville city, Alabama",42969,01,19360
"Daphne city, Alabama",80657,01,19648
"Decatur city, Alabama",55164,01,20104
"Demopolis city, Alabama",51364,01,20296
"Dora city, Alabama",55189,01,21136
"Dothan city, Alabama",53704,01,21184
"East Brewton city, Alabama",40353,01,22216
"Elba city, Alabama",41509,01,23296
"Enterprise city, Alabama",64888,01,24184
"Eufaula city, Alabama",39511,01,24568
"Evergreen city, Alabama",37679,01,24808
"Fairfield city, Alabama",45646,01,25120
"Fairhope city, Alabama",85456,01,25240
"Fayette city, Alabama",32375,01,25840
"Florence city, Alabama",47048,01,26896
"Foley city, Alabama",60090,01,26992
"Fort Payne city, Alabama",44549,01,27616
"Fultondale city, Alabama",72741,01,28552
"Gadsden city, Alabama",39696,01,28696
"Gardendale city, Alabama",78719,01,29056
"Geneva city, Alabama",44756,01,29464
"Glencoe city, Alabama",68893,01,29992
"Good Hope city, Alabama",68500,01,30496
"Graysville city, Alabama",65671,01,31384
"Greensboro city, Alabama",24820,01,31720
"Greenville city, Alabama",39087,01,31912
"Guin city, Alabama",48587,01,32224
"Gulf Shores city, Alabama",62021,01,32272
"Guntersville city, Alabama",61453,01,32416
"Haleyville city, Alabama",52656,01,32704
"Hamilton city, Alabama",50882,01,32848
"Hanceville city, Alabama",34782,01,32968
"Hartford city, Alabama",44977,01,33424
"Hartselle city, Alabama",64876,01,33448
"Headland city, Alabama",80811,01,33856
"Heflin city, Alabama",45288,01,33976
"Helena city, Alabama",107360,01,34024
"Henagar city, Alabama",44338,01,34096
"Hokes Bluff city, Alabama",72333,01,35392
"Homewood city, Alabama",97366,01,35800
"Hoover city, Alabama",101765,01,35896
"Hueytown city, Alabama",64176,01,36448
"Huntsville city, Alabama",67874,01,37000
"Indian Springs Village city, Alabama",135114,01,37465
"Irondale city, Alabama",68869,01,37864
"Jackson city, Alabama",52530,01,38152
"Jacksonville city, Alabama",46451,01,38272
"Jasper city, Alabama",62850,01,38416
"Jemison city, Alabama",62907,01,38608
"Kimberly city, Alabama",107670,01,39856
"La Fayette city, Alabama",32031,01,40672
"Lanett city, Alabama",48125,01,41296
"Leeds city, Alabama",67159,01,41968
"Lincoln city, Alabama",65042,01,43120
"Linden city, Alabama",35294,01,43240
"Lineville city, Alabama",35435,01,43264
"Lipscomb city, Alabama",46767,01,43336
"Livingston city, Alabama",20417,01,43720
"Luverne city, Alabama",52264,01,44728
"Madison city, Alabama",118132,01,45784
"Marion city, Alabama",36618,01,46768
"Midfield city, Alabama",48219,01,48376
"Millbrook city, Alabama",63521,01,48712
"Mobile city, Alabama",48524,01,50000
"Monroeville city, Alabama",32040,01,50192
"Montevallo city, Alabama",56500,01,50312
"Montgomery city, Alabama",54166,01,51000
"Moody city, Alabama",77680,01,51096
"Moulton city, Alabama",37614,01,51600
"Mountain Brook city, Alabama",167007,01,51696
"Muscle Shoals city, Alabama",70493,01,53016
"New Hope city, Alabama",76680,01,54168
"Northport city, Alabama",72286,01,55200
"Odenville city, Alabama",72521,01,56400
"Oneonta city, Alabama",44167,01,57000
"Opelika city, Alabama",55218,01,57048
"Opp city, Alabama",42956,01,57120
"Orange Beach city, Alabama",90402,01,57144
"Oxford city, Alabama",66031,01,57576
"Ozark city, Alabama",47407,01,57648
"Pelham city, Alabama",94108,01,58848
"Pell City city, Alabama",71027,01,58896
"Phenix City city, Alabama",46944,01,59472
"Piedmont city, Alabama",44944,01,59640
"Pinson city, Alabama",83673,01,60648
"Pleasant Grove city, Alabama",72917,01,61008
"Prattville city, Alabama",76176,01,62328
"Prichard city, Alabama",36110,01,62496
"Rainbow City city, Alabama",60260,01,63288
"Rainsville city, Alabama",60339,01,63336
"Red Bay city, Alabama",33234,01,63576
"Riverside city, Alabama",70208,01,64920
"Roanoke city, Alabama",43664,01,65040
"Robertsdale city, Alabama",55345,01,65208
"Russellville city, Alabama",50411,01,67056
"Samson city, Alabama",29338,01,67800
"Saraland city, Alabama",62802,01,68160
"Satsuma city, Alabama",87974,01,68352
"Scottsboro city, Alabama",49287,01,68736
