NAME,B19013_001E,state,place
"Carlinville city, Illinois",40250,17,11202
"Toulon city, Illinois",44783,17,75783
"Bushnell city, Illinois",37548,17,10110
"Martinsville city, Illinois",39044,17,47254
"Princeton city, Illinois",41566,17,61899
"Fairbury city, Illinois",40083,17,24764
"Wood Dale city, Illinois",63650,17,82985
"Harvard city, Illinois",46742,17,33331
"Keithsburg city, Illinois",35481,17,39298
"Joliet city, Illinois",61834,17,38570
"Breese city, Illinois",67005,17,07913
"Altamont city, Illinois",36744,17,01049
"Sandwich city, Illinois",58636,17,67548
"Collinsville city, Illinois",52675,17,15599
"Polo city, Illinois",41389,17,60937
"Blue Island city, Illinois",41305,17,06704
"Carrollton city, Illinois",44133,17,11462
"Jerseyville city, Illinois",43699,17,38414
"Vandalia city, Illinois",44455,17,77317
"Colona city, Illinois",61875,17,15664
"Geneseo city, Illinois",60531,17,28846
"Highland city, Illinois",55941,17,34670
"Streator city, Illinois",40688,17,73170
"Pinckneyville city, Illinois",35189,17,59884
"Chillicothe city, Illinois",48325,17,14117
"Peoria city, Illinois",46547,17,59000
"Fairview Heights city, Illinois",62165,17,25141
"Amboy city, Illinois",43155,17,01270
"Glenwood Springs city, Colorado",55241,08,30780
"Littleton city, Colorado",67133,08,45255
"Sterling city, Colorado",36282,08,73935
"Woodland Park city, Colorado",65972,08,86090
"Decatur city, Illinois",40777,17,18823
"Auburn city, Illinois",62386,17,02921
"Ottawa city, Illinois",45541,17,56926
"Gillespie city, Illinois",47125,17,29236
"Chicago Heights city, Illinois",40611,17,14026
"Sesser city, Illinois",39125,17,68705
"Belvidere city, Illinois",47586,17,05092
"Watseka city, Illinois",37645,17,79228
"Sycamore city, Illinois",67132,17,74223
"White Hall city, Illinois",37188,17,81256
"Dallas City city, Illinois",46406,17,18420
"Maroa city, Illinois",50673,17,47072
"Minonk city, Illinois",53365,17,49568
"Mount Vernon city, Illinois",34876,17,51180
"Carterville city, Illinois",48421,17,11514
"Gilman city, Illinois",43350,17,29275
"Chrisman city, Illinois",44583,17,14273
"Taylorville city, Illinois",42782,17,74574
"Elmhurst city, Illinois",100671,17,23620
"Kankakee city, Illinois",33931,17,38934
"Momence city, Illinois",62578,17,49893
"Jonesboro city, Illinois",47083,17,38635
"Albion city, Illinois",39471,17,00568
"Springfield city, Illinois",50191,17,72000
"Virden city, Illinois",47625,17,78149
"Lanark city, Illinois",48571,17,41859
"Charleston city, Illinois",27004,17,12567
"Christopher city, Illinois",34444,17,14286
"Mendota city, Illinois",44625,17,48333
"New Boston city, Illinois",41250,17,52220
"Griggsville city, Illinois",43393,17,31771
"Windsor city, Illinois",37500,17,82322
"Countryside city, Illinois",53750,17,16873
"Carthage city, Illinois",45536,17,11527
