NAME,B19013_001E,state,place
"Red Bluff city, California",31119,06,59892
"Hollister city, California",77823,06,34120
"Artesia city, California",62702,06,02896
"Azusa city, California",57728,06,03386
"Baldwin Park city, California",57209,06,03666
"Cerritos city, California",98953,06,12552
"Commerce city, California",42734,06,14974
"Hidden Hills city, California",200375,06,33518
"Industry city, California",74464,06,36490
"Inglewood city, California",46389,06,36546
"Sonora city, California",42052,06,72674
"Rio Dell city, California",34292,06,60900
"Belvedere city, California",213500,06,05164
"Colusa city, California",50265,06,14946
"Chowchilla city, California",40938,06,13294
"San Dimas city, California",81242,06,66070
"Eastvale city, California",110685,06,21230
"Jurupa Valley city, California",63286,06,37692
"Santa Rosa city, California",67144,06,70098
"Fountain Valley city, California",86602,06,25380
"Avenal city, California",34638,06,03302
"Irvine city, California",95573,06,36770
"Los Alamitos city, California",79459,06,43224
"Newark city, California",96817,06,50916
"Kerman city, California",45139,06,38226
"San Jose city, California",96662,06,68000
"San Francisco city, California",96265,06,67000
"Santa Clara city, California",108609,06,69084
"Santee city, California",81430,06,70224
"Vista city, California",59833,06,82996
"San Rafael city, California",85931,06,68364
"Sausalito city, California",110385,06,70364
"Torrington city, Connecticut",61313,09,76500
"Norwich city, Connecticut",53682,09,56200
"Derby city, Connecticut",57432,09,19480
"Bristol city, Connecticut",64586,09,08420
"New Britain city, Connecticut",43611,09,50370
"West Haven city, Connecticut",55299,09,82800
"Hartford city, Connecticut",33841,09,37000
"Ansonia city, Connecticut",45563,09,01150
"Weston city, Florida",96173,12,76582
"Punta Gorda city, Florida",57789,12,59200
"Bowling Green city, Florida",35063,12,07775
"Belleview city, Florida",35509,12,05375
"Lauderhill city, Florida",38805,12,39550
"Lighthouse Point city, Florida",80604,12,40450
"Miramar city, Florida",66560,12,45975
"Oakland Park city, Florida",48390,12,50575
"Wauchula city, Florida",38229,12,75375
"Anna Maria city, Florida",62727,12,01475
"Palmetto city, Florida",41289,12,54250
"Flagler Beach city, Florida",49863,12,22550
"Orange City city, Florida",38344,12,51825
"Jacksonville city, Florida",50555,12,35000
"Opa-locka city, Florida",16271,12,51650
"West Miami city, Florida",46233,12,76525
"Key Colony Beach city, Florida",79167,12,36325
"Marathon city, Florida",54196,12,43000
"Venice city, Florida",55568,12,73900
"Avon Park city, Florida",29583,12,02750
"Hallandale Beach city, Florida",36072,12,28452
"Dania Beach city, Florida",42936,12,16335
"Doral city, Florida",76184,12,17935
"LaBelle city, Florida",38684,12,37225
"Marco Island city, Florida",72905,12,43083
"Miami Gardens city, Florida",41139,12,45060
"Golconda city, Illinois",26290,17,30133
"Vienna city, Illinois",28500,17,77863
"Loves Park city, Illinois",52212,17,45031
"Prophetstown city, Illinois",45114,17,61977
"Brookport city, Illinois",35288,17,08706
"Rushville city, Illinois",36893,17,66339
"Champaign city, Illinois",44638,17,12385
"Delavan city, Illinois",52059,17,19226
"Shawneetown city, Illinois",36136,17,69082
"Aledo city, Illinois",46319,17,00646
"Oakbrook Terrace city, Illinois",74500,17,54560
"East Dubuque city, Illinois",44861,17,21683
"Atlanta city, Illinois",50690,17,02752
"Lincoln city, Illinois",52245,17,43536
"Peru city, Indiana",34991,18,59328
"Gary city, Indiana",29293,18,27000
