NAME,B19013_001E,state,place
"Erick city, Oklahoma",27045,40,24200
"Eufaula city, Oklahoma",46068,40,24650
"Fairview city, Oklahoma",51085,40,25100
"Frederick city, Oklahoma",31719,40,27800
"Garber city, Oklahoma",48750,40,28500
"Geary city, Oklahoma",43162,40,28900
"Glenpool city, Oklahoma",68363,40,29600
"Seneca city, Oregon",46136,41,66200
"Shady Cove city, Oregon",44730,41,66550
"Shaniko city, Oregon",-666666666,41,66700
"Sheridan city, Oregon",53929,41,67050
"Sherwood city, Oregon",107537,41,67100
"Siletz city, Oregon",53646,41,67500
"Silverton city, Oregon",68350,41,67650
"Sisters city, Oregon",75662,41,67950
"Sodaville city, Oregon",55893,41,68550
"Springfield city, Oregon",49938,41,69600
"Stanfield city, Oregon",60450,41,69900
"Stayton city, Oregon",64631,41,70200
"Sublimity city, Oregon",80272,41,70700
"Sumpter city, Oregon",21650,41,71000
"Sutherlin city, Oregon",46293,41,71650
"Sweet Home city, Oregon",45424,41,71950
"Talent city, Oregon",36051,41,72500
"Tangent city, Oregon",69926,41,72600
"The Dalles city, Oregon",53457,41,72950
"Tigard city, Oregon",86757,41,73650
"Tillamook city, Oregon",45737,41,73700
"Toledo city, Oregon",43088,41,74000
"Troutdale city, Oregon",81881,41,74850
"Tualatin city, Oregon",92454,41,74950
"Turner city, Oregon",84130,41,75150
"Ukiah city, Oregon",-666666666,41,75550
"Umatilla city, Oregon",48677,41,75650
"Union city, Oregon",50417,41,75850
"Unity city, Oregon",33750,41,76250
"Vale city, Oregon",36563,41,76600
"Veneta city, Oregon",49240,41,77050
"Vernonia city, Oregon",52402,41,77250
"Waldport city, Oregon",47865,41,78000
"Wallowa city, Oregon",42000,41,78150
"Jeannette city, Pennsylvania",41756,42,37784
"Johnstown city, Pennsylvania",29171,42,38288
"Titusville city, Pennsylvania",37184,42,76904
"Flandreau city, South Dakota",47350,46,21540
"Fort Pierre city, South Dakota",72813,46,22260
"Frankfort city, South Dakota",41250,46,22580
"Freeman city, South Dakota",52330,46,23020
"Garretson city, South Dakota",58476,46,23820
"Gary city, South Dakota",46111,46,23860
"Geddes city, South Dakota",46000,46,23980
"Gettysburg city, South Dakota",58088,46,24260
"Gregory city, South Dakota",42350,46,26180
"Groton city, South Dakota",76765,46,26340
"Harrisburg city, South Dakota",78826,46,27260
"Hartford city, South Dakota",80874,46,27540
"Hecla city, South Dakota",36429,46,27980
"Herreid city, South Dakota",58125,46,28340
"Highmore city, South Dakota",57321,46,28980
"Hill City city, South Dakota",66442,46,29100
"Hosmer city, South Dakota",40156,46,30140
"Hot Springs city, South Dakota",45428,46,30220
"Delta city, Utah",52639,49,18910
"Draper city, Utah",112541,49,20120
"Duchesne city, Utah",59125,49,20340
"Eagle Mountain city, Utah",87094,49,20810
"East Carbon city, Utah",29867,49,20890
"Elk Ridge city, Utah",103875,49,22370
"Enoch city, Utah",62643,49,23200
"Enterprise city, Utah",63750,49,23420
"Ephraim city, Utah",56750,49,23530
"Escalante city, Utah",39508,49,23750
"Eureka city, Utah",58750,49,24080
"Fairview city, Utah",57266,49,24630
"Farmington city, Utah",99208,49,24740
"Farr West city, Utah",90439,49,24850
"Ferron city, Utah",65329,49,25180
"Fillmore city, Utah",61375,49,25510
"Fountain Green city, Utah",58311,49,26720
"Fruit Heights city, Utah",98438,49,27490
"Garland city, Utah",48844,49,28150
"Grantsville city, Utah",76771,49,31120
"Green River city, Utah",42361,49,31670
"Gunnison city, Utah",66786,49,32660
"Harrisville city, Utah",80250,49,33540
"Heber city, Utah",80417,49,34200
"Helper city, Utah",55760,49,34530
"Petersburg city, Virginia",43029,51,61832
"Poquoson city, Virginia",100696,51,63768
"Portsmouth city, Virginia",53213,51,64000
"Radford city, Virginia",34576,51,65392
"Richmond city, Virginia",51421,51,67000
"Roanoke city, Virginia",45664,51,68000
"Buckhannon city, West Virginia",42287,54,11188
"Cameron city, West Virginia",24167,54,12484
"Ceredo city, West Virginia",36731,54,14308
"Charleston city, West Virginia",49769,54,14600
"Charles Town city, West Virginia",77552,54,14610
"Chester city, West Virginia",47993,54,15076
"Clarksburg city, West Virginia",41226,54,15628
"New London city, Wisconsin",54418,55,56925
"New Richmond city, Wisconsin",68034,55,57100
"Niagara city, Wisconsin",48688,55,57325
"Oak Creek city, Wisconsin",75657,55,58800
"Oconomowoc city, Wisconsin",96588,55,59250
"Oconto city, Wisconsin",49468,55,59350
"Oconto Falls city, Wisconsin",43877,55,59400
"Omro city, Wisconsin",59085,55,59875
"Onalaska city, Wisconsin",66295,55,59925
"Oshkosh city, Wisconsin",51282,55,60500
"Osseo city, Wisconsin",58417,55,60575
"Owen city, Wisconsin",40625,55,60825
"Park Falls city, Wisconsin",37400,55,61200
"Peshtigo city, Wisconsin",53734,55,62175
"Pewaukee city, Wisconsin",105768,55,62240
"Phillips city, Wisconsin",42585,55,62450
"Baytown city, Texas",54454,48,06128
"Beach City city, Texas",150417,48,06200
"Beasley city, Texas",62426,48,06272
"Beaumont city, Texas",48168,48,07000
"Beckville city, Texas",42222,48,07108
"Bedford city, Texas",71644,48,07132
"Bedias city, Texas",-666666666,48,07144
"Bee Cave city, Texas",87688,48,07156
"Beeville city, Texas",39595,48,07192
"Bellaire city, Texas",200250,48,07300
"Bellevue city, Texas",63333,48,07396
"Bellmead city, Texas",41619,48,07408
"Bellville city, Texas",50551,48,07432
"Belton city, Texas",49617,48,07492
"Benavides city, Texas",65076,48,07528
"Benbrook city, Texas",73945,48,07552
"Benjamin city, Texas",37500,48,07636
"Bertram city, Texas",61250,48,07864
"Beverly Hills city, Texas",42128,48,08104
"Bevil Oaks city, Texas",76875,48,08128
"Big Lake city, Texas",62182,48,08212
"Big Spring city, Texas",55637,48,08236
"Big Wells city, Texas",25469,48,08260
"Bishop city, Texas",39286,48,08392
"Blackwell city, Texas",-666666666,48,08488
"Blanco city, Texas",57500,48,08536
"Blossom city, Texas",42340,48,08812
"Blue Mound city, Texas",54167,48,08860
"Blue Ridge city, Texas",58929,48,08872
"Boerne city, Texas",77917,48,09160
"Mason city, Texas",36528,48,46968
"Mathis city, Texas",29081,48,47040
"Maud city, Texas",46447,48,47088
"Maypearl city, Texas",60972,48,47268
"Meadowlakes city, Texas",77931,48,47330
"Meadows Place city, Texas",76563,48,47337
"Melissa city, Texas",117750,48,47496
"Memphis city, Texas",40163,48,47616
"Menard city, Texas",43068,48,47628
"Mercedes city, Texas",39734,48,47700
"Meridian city, Texas",49561,48,47760
"Mertzon city, Texas",54889,48,47832
"Mesquite city, Texas",60715,48,47892
"Mexia city, Texas",35636,48,47916
"Miami city, Texas",61012,48,47988
"Midland city, Texas",83616,48,48072
"Midlothian city, Texas",95603,48,48096
"Midway city, Texas",-666666666,48,48180
"Milano city, Texas",60343,48,48336
"Miles city, Texas",59185,48,48396
"Mineola city, Texas",45842,48,48648
"Mineral Wells city, Texas",52038,48,48684
"Mingus city, Texas",27019,48,48720
"Mission city, Texas",49358,48,48768
"Missouri City city, Texas",83491,48,48804
"Mobeetie city, Texas",56875,48,48852
"Mobile City city, Texas",38043,48,48858
"Monahans city, Texas",71155,48,48936
"Mont Belvieu city, Texas",126602,48,49068
"Montgomery city, Texas",96422,48,49128
"Grandfield city, Oklahoma",37634,40,30850
"Grove city, Oklahoma",42780,40,31600
"Guthrie city, Oklahoma",47542,40,31700
"Guymon city, Oklahoma",51234,40,31750
"Haileyville city, Oklahoma",41250,40,31900
"Harrah city, Oklahoma",62722,40,32750
